id,type,text1,text2,text3,text4,notes
conquest_ii,SHIP,"This ship is a survivor of the original 2nd Domain Battlegroup which served as the praetorian for the Sol system. It is a prime specimen the 2nd Battlegroup's ""Adamantium Lance"" doctrine, particularly exhibited by a series of radical structural modifications performed using pre-Collapse industrial technology.

The Conquest-class battlecruiser is the embodiment of concentrated firepower. Developed in the period just preceding the popularization of fighter craft, the class emphasizes firepower and speed over armor protection.","The Conquest-class battlecruiser is the embodiment of concentrated firepower. Developed in the period just preceding the popularization of fighter craft, the class emphasizes firepower and speed over armor protection.",,,
eagle_ii,SHIP,"This ship is a survivor of the original 2nd Domain Battlegroup which served as the praetorian for the Sol system. It is a prime specimen the 2nd Battlegroup's ""Adamantium Lance"" doctrine, particularly exhibited by a series of radical structural modifications performed using pre-Collapse industrial technology. 

Eagle-class cruisers are often found at the core of military fleets headed for battle. It is not hard to see why: A strong overall profile, with a robust engine, the Eagle's deadly weapons package is a threat to all enemies.

The Eagle can deliver a strong tactical punch to enemy formations. Its numerous turret and hardpoint emplacements make it very dangerous to smaller foes. Decent armor and a strong shield emitter let it hold space while outnumbered, or even when faced with the rare larger ship. 

These strengths are somewhat countered by strike craft - an Eagle captain must always watch their scopes for an approaching strike squadron, since their ship will be easily crippled by multiple hits from modern strike weapons. 

The embodiment of the sleek and powerful space cruiser from the time of the Domain, the Eagle-class ships are a beautiful reminder of the technological and aesthetic achievements of humanity's past. ","Agile for a cruiser, the Eagle is difficult to flank and has impressive and focused frontal firepower.",,,
hammerhead_ii,SHIP,"This ship is a survivor of the original 2nd Domain Battlegroup which served as the praetorian for the Sol system. It is a prime specimen the 2nd Battlegroup's ""Adamantium Lance"" doctrine, particularly exhibited by a series of radical structural modifications performed using pre-Collapse industrial technology. 

A midline destroyer from the golden age of the Domain, the Hammerhead is respected for its staying power in battle as well as its ballistic capabilities.",,,,
brawler_ii,SHIP,"This ship is a survivor of the original 2nd Domain Battlegroup which served as the praetorian for the Sol system. It is a prime specimen the 2nd Battlegroup's ""Adamantium Lance"" doctrine, particularly exhibited by a series of radical structural modifications performed using pre-Collapse industrial technology. 

Typically deployed to beef up system police forces and port authority security, the Brawler-class frigate is a robust design which trades mobility (and comfort) for impressive firepower, armor, and a destroyer-grade power generator.",,,,
invictus_ii,SHIP,"This ship is a survivor of the original 2nd Domain Battlegroup which served as the praetorian for the Sol system. It is a prime specimen the 2nd Battlegroup's ""Adamantium Lance"" doctrine, particularly exhibited by a series of radical structural modifications performed using pre-Collapse industrial technology. 

A design dating to the first explosive expansion of the Domain, this gargantuan mass of armor and all-big-guns was the gauntleted fist that smashed all opposition, spreading hegemony by fear and force over all of spacefaring humanity that was worth conquering.

The steady march of military technology left the hull outdated, however. Its armor design was incompatible with early shield generators, its minimum crew complement staggering, and targeting systems unsophisticated. Modernized replacements were soon developed and the Onslaught-class, among others, was churned out by the great Domain forges. 

As a demostration of the raw power of the domain, and their  ""Adamantium Lance"" doctrine, few Invictuses were moved out of museums, by the Second Battlegroup and  undergone radical modifications and modernization efforts. These ships are used both as a ceremonial piece and a propaganda spotlight, but its combat capabilities should not be underestimated.",,,,
spinalgauss,WEAPON,"A giant spinal mounted railgun, the Lance of Oblivion is custom made for the Invictus of the Second Battlegroup. No other ship, not even of mighty Onslaught could handle its enormous size and recoil. It fires a giant Adamantium ""Dart"" (if you can even call it that) that could rip a destoryer in half with one shot, even when it is technically an anti-shield weapon.",,,,
heron_ii,SHIP,"This ship is a survivor of the original 2nd Domain Battlegroup which served as the praetorian for the Sol system. It is a prime specimen the 2nd Battlegroup's ""Adamantium Lance"" doctrine, particularly exhibited by a series of radical structural modifications performed using pre-Collapse industrial technology. 

The Heron provides the strategic and tactical mobility of a cruiser with potential firepower limited only by available strike-craft. It is the perfect accompaniment to the quick-moving and hard-hitting fleet of an admiral who knows when to take the initiative, hit quickly, and withdraw while enemy forces are still responding to the threat.

Historically the Heron represented a movement in Domain Armada strategy from a heavy capital ship doctrine based on overwhelming firepower toward a focus on strike craft and support cruisers that enable sufficient firepower to be quickly focused on weak points, a strategic shift that would reverse itself as a natural reaction against tradition from each successive generation of Armada officers. This process was occurring once more in the cycles immediately preceding the fall of the gate system and, in something of a coup for the so-called ýCruiser Schoolý, the forward-thinking Altair Exotech won the Heron design contract over the traditional manufacturer of heavy Armada warships, Orion Shipyards. 

However the doctrinal shift embodied by the Heron was interrupted by the isolation of The Fall, and as such it is not often found in core Hegemony fleets (whose officers still cling to tradition). This hull has however found great popularity among the independent worlds, megacorporations, and mercenary forces of the Sector that tend to field leaner, faster fleets.",,,,
trident_ii,SHIP,"This wing is a survivor of the original 2nd Domain Battlegroup which served as the praetorian for the Sol system. It is a prime specimen the 2nd Battlegroup's ""Adamantium Lance"" doctrine, particularly exhibited by a series of radical structural modifications performed using pre-Collapse industrial technology. 

Equipped with dual Atropos-class torpedoes and a top-notch shield generator, the Trident is perhaps the most feared of all bombers. Its effectiveness is somewhat limited by its low top speed and demanding logistical profile.",,,,
broadsword_ii,SHIP,"This wing is a survivor of the original 2nd Domain Battlegroup which served as the praetorian for the Sol system. It is a prime specimen the 2nd Battlegroup's ""Adamantium Lance"" doctrine, particularly exhibited by a series of radical structural modifications performed using pre-Collapse industrial technology. 

Tough and agile, the Broadsword carries a decoy flare launcher that draws defensive fire away from high-value targets like bombers and their payloads. However, it can falter if faced with the need to deal the killing blow itself.",,,,
warthog_ii,SHIP,"This wing is a survivor of the original 2nd Domain Battlegroup which served as the praetorian for the Sol system. It is a prime specimen the 2nd Battlegroup's ""Adamantium Lance"" doctrine, particularly exhibited by a series of radical structural modifications performed using pre-Collapse industrial technology. 

Boasting superb armor and respectable firepower, the Warthog is capable of trading blows with larger ships, but lacks shield-breaking weapons. A decoy flare launcher helps draw fire away from its more vulnerable allies.",,,,
