id,type,text1,text2,text3,notes
csp_phasehead,SHIP,"Integrating a phase coil into one of their most popular destroyers, the Phasehead represents the Persean League's first step into phase engineering. However, whether or not it will work out is yet to be discovered.",,,
csp_solarizedflare,SHIP,"Wanting to make their own verison of the Shepherd, the Solarized Flare is a more defensive frigate option in the Persean's lineup. Coming with a built-in Nanoforge, the Solarized Flare can deploy several point defense drones. Despite being relatively fragile, these drones can provide much-needed support to the host ship and its surrounding allies.",,,
csp_LGbazaarfalcon,SHIP,"A Lion's Guard modification package for the standard Falcon, Sindrian engineers were able to add Carrier capabilities to the ship, drastically improving its utility and firepower. Further, the flare launchers were replaced with the Assault Mode system, allowing it to both chase and retreat more effectively than before.",,,
csp_heliadae,SHIP,"This Phaeton tanker turned carrier was built using several scraps of armor from wrecked vessels and forgoing a shield generator. It brings out a considerable amount of fighter support in the battlefield in exchange for having lightweight armor plating. To compenstate for a lack of shield, the Helidae boasts a damper field that allows it to get more use out of its armor against highly explosive ordinance.",,,
csp_hesperides,SHIP,"Nicknamed the ""Space Truck"", the Hesperides is a cargo hauler that bridges the gap between the Colossus and the Atlas, by utilizing some of the cargo techololgy of the Atlas. ",,,
csp_zagreus,SHIP,"Another vessel that belongs to the Hegemony's original ship lines, the Zagreus offers escort capabilities to a XIVth fleet and a strong option against fast pickets. Pirate destroyers should be on their toes when attempting to take on a XIVth fleet if this ship is present.",,,
csp_Guts,SHIP,"Bulit from the remains of a Low-Tech Battlestation and an Enforcer, the Guts is a slow but tanky son of a bitch that drives home the point of ""Slow but steady"". While it's no Onslaught in terms of firepower, the Guts's defences are not to be trifled with when facing any cruisers.",,,
csp_altergeist,SHIP,"Some scavengers, after salvaging several phase coils from destroyed phase ships, decided to add them to some of their ships in an attempt to make a ship that can utilize both shields and phase coils. One of these ships was a Venture which, as a result of this attempt, had its shields systems fried beyond repair but gained the ability to use the phase coils with surprising effectiveness, such that no additional modifications were needed to prolong its time in battle. Those scavengers, after selling the blueprint of this modified Venture that would later be dubbed as the Altergeist, were able to live out the rest of their lives in whatever can be considered comfort in the sector.  ",,,
csp_Phasegon,SHIP,"A ship that most people didn't think to be possible, but through the power of science and recovered Domain techology, the Phasegon became reality. Unlike its shield wielding counterpart, the Phasegon is being rolled out slowly into fleets. As such, only the most wealthy individuals or high-ranking Tri-Tachyon officers can harness this ship's destructive power.",,,
csp_hesperidesp,SHIP,"A Hesperides that has been converted from a freighter to a combat freighter. Utilizing salvaged parts and repurposing some of the cargoholds, this pirate-revised Hesperides can fit a large ballistic along with a bay fitted with a built-in Talon wing LPC and a modular bay as fighter support.

These modifications give this ship an impressive amount of firepower for a converted combat freighter, but retains the drawbacks of one however. ",,,
csp_Lanius,SHIP,"The AIs of the Tri-Tachyon corporation are a clever bunch, even without their corporate overlords. These machines have learned to adapt, remaining intact even after their vessels blew up in the past wars. When given the chance, these machines will hack into your ship and slaughter everyone onboard, then they will attempt to return to their kind with your vessel in tow. The ship you see before you, the Lanius, is the result of one. Such as an AI coming back with a modified Shrike, after an insane Tri-Tachyon engineer attempted to merge a Shrike with the remains of the AI's vessel. It has clearly been improved upon by the Machines to ensure it leaves nothing alive in its wake.",,,
csp_vritra,SHIP,"A remnant of the autonomous AI fleets developed by the Tri-Tachyon Corporation. Illegal under Domain (and Hegemony) law, and an abomination to the Church of Galactic Redemption, the First AI War saw these creations purged from the Sector. At least that is how the official histories tell it. The Vritra holds the line with its fortress shield while the rest of its brethren eliminate any and all threats.",,,
csp_vicviperpilot,SHIP,"An experimental verison of the Vic Viper superfighter. Using technology only in prototype stages, it can operate without requiring a carrier. The chassis has been scaled up slightly to make room for additional equipment. While it's capable of being independent from a carrier, it's not going to go far by itself, due to the fact it is still a fighter, and it can not hold a lot of supplies or fuel. It has been given a fighter bay equipped with Option Drones to support the fighter.",,,
csp_battlephantom,SHIP,"A more combat capable verison of the Phantom, the Spectre comes equipped with a large missile slot to kill any threats using its small size, speed and phase cloak. However, it still requires a fleet to provide support as it has little option in other weapons beyond the 2 pairs of Terminator drones",,,
