name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
#Built-in,,,,,,,,,,,,,,,,,,,
External Missile Racks,jdp_externalmissilerack,,,,"no_drop, no_sell, codex_unlockable",,,,TRUE,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_externalmissileracks,"This ship is equipped with a large external missile storage silo, made of repurposed cargo containers salvaged from an Atlas-class Superfreighter. It is capable of storing a large quantity of ordinance, increasing missile capacity by %s. 

It is however incredibly vulnerable, compromising the ships hull, reducing it by %s and is unable to be armoured, reducing overall armor rating by %s. 

It is also very heavy and quite unwieldy, reducing the ships manoeuvrability by %s.",,,graphics/hullmods/jdp_externalmissileracks.png
Maintenance Nanite Tanks,jdp_maintenancenanitetanks,,,,"no_drop, no_sell, codex_unlockable",,,,TRUE,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_maintenancenanitetanks,"This ship is equipped with large tanks of specialised maintenance and construction nanites.

Reduces the time required to repair disabled weapons and engines (in combat) by %s and reduces overload duration by %s.",Increases weapon repair rate in combat.,,graphics/hullmods/jdp_maintenancenanitetanks.png
Heavy Energy Integration,jdp_heavyenergyintegration,,,,"no_drop, no_sell, codex_unlockable",,,,TRUE,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_heavyenergyintegration,"An attempt to reduce the ordnance point cost of large energy weapons by %s. 
 
While successful, it was also successful in claiming the lives of many Sindrian petty officers, executed for treason when they naively notified their superiors of the systems numerous design flaws. The mess of auxiliary reactors, dedicated flux conduits and tangled grids increases the chance of critical malfunction, although by a small enough amount that it can be scrubbed from official combat logs.","According to the Diktat, reduces ordnance point cost of large energy weapons.",,graphics/hullmods/jdp_heavyenergyintegration.png
Standoff Targeting Core,jdp_standofftargetingcore,,,,"no_drop, no_sell, codex_unlockable",Weapons,,,TRUE,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_standofftargetingcore,"A dedicated delta-level AI is installed on this ship for ballistics targeting and analysis. The provided data improves aurofire accuracy by %s and increases the range of non-pd ballistic weapons by %s. The range of point defence weapons is only increased by %s.

The adjunct sensor suite increases the radius of battlefield vision by %s su.",Increases weapon range.,,graphics/hullmods/jdp_standofftargetingcore.png
Dumb-fire Conversion,jdp_dumbfireconversion,1,,,"no_drop, no_sell, codex_unlockable",Weapons,,,TRUE,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_dumbfireconversion,"Modified aftermarket for mining operations, the missile fabrication bays on this ship produce missiles with simplified guidance systems and forward focused propulsion systems, increasing their speed by %s and hitpoints by %s at the cost of killing their maneuverability, reducing it by %s and effectively making them dumb-fire. Missiles with a second stage will activate if they can reach engagement range.

The space saved within missiles by using a dumb-fire guidance computer is used to supplement the strength of the warhead, increasing damage by %s.",Converts all missiles to dumb-fire rockets.,,graphics/hullmods/jdp_dumbfireconversion.png
Antimatter-Fusion Plant,jdp_antimatterplant,,,,"no_drop, no_sell, codex_unlockable",,,,TRUE,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_antimatterplant,"This ship is equipped with an incredibly rare portable Antimatter-Fusion Plant, allowing it to produce Antimatter fuel out of motes gathered in Hyperspace. While the rate of production is low, and will realistically never exceed consumption, it does mean the ship has an unusually low rate of fuel use for its size and allows it to stabilise the fleets drive bubble, increasing maximum burn by %s. 

This system constantly produces an immense amount of waste heat, while this is safely dissipated by the ships aft radiator complex, it is practically impossible to hide, increasing sensor profile by %s. When in combat these radiators can contribute to emergency flux dissipation, reducing overload duration by %s.",,,graphics/hullmods/jdp_antimatterplant.png
Magnetic Accelerator,jdp_magneticaccelerator,,,,"no_drop, no_sell, codex_unlockable",Weapons,,,TRUE,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_magneticaccelerator,A set of inbuilt magnetic accelerators improves projectile velocity by %s.,Increases projectile speed.,,graphics/hullmods/jdp_magneticaccelerator.png
Sixth Battlegroup,jdp_sixth,,,,"no_drop, no_sell, codex_unlockable",,,,TRUE,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_sixth,"This ship is a survivor of the original 6th Domain Battlegroup which was rotated out of the Persean Sector before the Collapse. Ships damaged in small skirmishes just before the changeover were reluctantly left behind, intended for the 14th Battlegroup to restore them and bolster their own numbers. Unfortunately few remained where they had been stored by the end of the Cold Passage, having been claimed by Warlord Leonis and other desperate polities in the interim.

It is a prime specimen of the 6th Battlegroup's unorthodox full acceptance of the ""Cruiser School"" doctrine, particularly exhibited by a series of armour cutbacks and drive tunings (performed with pre-Collapse industrial methods) which, while reducing armor plate density by %s, allow for a %s increase in speed, handling and maneuverability. Exceptionally well-tuned energy systems increase flux throughput and capacity by %s over standard examples of this hull.",,,graphics/hullmods/jdp_sixth.png
AI Sub-Core,jdp_stubcore,,,,"no_drop, no_sell, codex_unlockable",Weapons,,,TRUE,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_subcore,"An AI sub-core is installed on this ship for targeting and analysis, a shaped charge inside the core chamber ensures compliance during combat. The provided data improves aurofire accuracy by %s while the adjunct sensor suite increases the radius of battlefield vision by %s su.",Increases weapon range.,,graphics/hullmods/jdp_subcore.png
Restricted Missile Magazines,jdp_restrictedmagazines,,,,"no_drop, no_sell, codex_unlockable",,,,TRUE,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_restrictedmagazines,"With multiple bleeding edge systems built into a relatively small hull, the internals of this ship are very cramped. During the design phase it was clear something had to give, and in this case it was clearly decided the internal missile magazines could be safely cut back, reducing missile capacity by %s.",,,graphics/hullmods/jdp_restrictedmagazines.png
