id,type,text1,text2,text3,text4,notes
# SHIPS SHIPS SHIPS,,,,,,
mule_lp_x,SHIP,"This ramshackle vessel is assembled from a Nebula and a Mule by Pathers. With the cargo compartments removed and replaced with weaponry, hull reinforcement, and overtuned engines, this ship is incredibly fast and packs a mighty punch. However it is noticeably fragile, unsurprising given its uneven construction. This however does not deter the most Faithful of the Path who desire a Martyrs death, something this ship is almost guaranteed to give.",,,,
phaeton_lp,SHIP,"Fanatics of the Luddic Path have made this ship their own, stripping out all unnecessary furnishing and transforming it into a haphazard vehicle of holy war.

Typically a medium tanker is left a smoking ruin in the wake of the Luddic Path. Sometimes, however, the hulls are stolen away, and completely remade. After considerable modification of internal components, this vessel has been converted into an aggressive destroyer able to attack at range with its fighter wing, or demolish foes up close with its large ballistic. The ship is fragile, and is more prone to delivering Martyrs to Ludd's embrace rather than sending the servants of Moloch and Mammon to their masters.",,,,
starliner_lp_x,SHIP,"Heavily modified by the Luddic Path, this butchered husk of a Starliner has the decadent crew compartments completely striiped out. In their place a hapazard collection of hull reinforcement, weapons, engines and superior flux infrastructure have been sintalled to fight the followers of Moloch. Surprisingly nimble for its size and packed with weaponry, the craft is also fragile in the face of withering fire. A feared vessel, this overtuned cruiser can crush any diabolical vessel smaller than it, but tends to turn its crew into Martyrs when encountering larger enemies.",,,,
eagle_le_lp,SHIP,"Almost unrecognisable from the original Eagle, this practically scrapped cruiser has had large portions of the structure removed and replaced with ballistic mounts. While the ship has been drastically down-armoured, the vent management system has been maintained  (albeit poorly), and additional engines have been crudely added. An incredibly dangerous weapon of Holy War (both to its crew and its enemies), this Luddic vessel is blisteringly quick and startlingly resilient.

Eagle-class cruisers are often found at the core of military fleets headed for battle. It is not hard to see why: A strong overall profile, with a robust engine, the Eagle's deadly weapons package is a threat to all enemies.

The Eagle can deliver a strong tactical punch to enemy formations. Its numerous turret and hardpoint emplacements make it very dangerous to smaller foes. Decent armor and a strong shield emitter let it hold space while outnumbered, or even when faced with the rare larger ship. 

These strengths are somewhat countered by strike craft - an Eagle captain must always watch their scopes for an approaching strike squadron, since their ship will be easily crippled by multiple hits from modern strike weapons. 

The embodiment of the sleek and powerful space cruiser from the time of the Domain, the Eagle-class ships are a beautiful reminder of the technological and aesthetic achievements of humanity's past. ",,,,
le_prometheus3,SHIP,"The fanatical Pathers have discovered an ironic sense of justice in converting the tanker which carries what they call 'Infernium' - AM fuel - into a hulking implement of holy war. Unlike the Prometheus Mk II. occassionally seen in Luddic Path fleets, this derivative still has most of its pre-existing civilian infrastructure intact. Instead, a makeshift ship factory has been installed in the now cored-out main fuel tank. It is from this drydock that a ramshackle suicide ship laden with explosives can be flown out of to bring the Divine Retribution of the Light of Ludd to the servants of Moloch, granting salvation in complete annhiliation.",,,,
lp_dram_missile,SHIP,"A stripped-back Dram hull filled with explosives, this improvised suicide vessel can cripple stations and fleet vessels if it can make contact. However, its ramshackle construction lacks structural stability and the vessel can be disabled by withering firepower.",,,,
,,,,,,
fasces,SHIP,"An over-armoured artillery vessel, the Fasces is a rare vessel born of the same chassis as the Enforcer. Bearing a near-cruiser sized ballistic armament in a destroyer-class vessel, this ship suffers from a poor flux pool and awful mobility.

A sister ship to the Enforcer, the Fasces was produced as a replacement for the Manticore. With a more compact profile, heavy armour and good armament protection, the ship was let down by its awful flux systems based on the original Enforcer. The ship did see widespread production, widely rumoured to be a consequence of backroom graft, which resulted in the Manticore being displaced in core Domain battlegroups - but the ship saw significant push-back by frontier regions.",,,,
revolt,SHIP,"The Revolt is a defensive cruiser with a focus on being well protected with armour and armament. Designed to withstand damage and provide local support with its fighter bay, the Revolt lacks the ability to concentrate its firepower.

With light craft seeing an increasing role in rebellion engagements, particularly with mobility to circumvent the typical battle-line doctrine, there was a growing need to provide a vessel that could cover itself and other craft. The result was the Revolt, a ship designed to be suitably covered by firing arcs and thick armour to withstand flanking attacks and fighter strikes. Further, the good arcs enable better coverage of other craft in the battle line, and enable good ability to prevent flanking maneuvers by opposing craft. Nowadays this ship sees extended service as capital escorts, providing good space protection for the venerable Onslaught class.",,,,
fidem,SHIP,"A heavy frigate, this vessel can fulfil a number of roles due to its flexible armament, fighter deck bay and ammunition feeder system. However, its logistical profile is often found to be too high for its class, especially when compared with more specialised hulls.

While the Mora was a ubiquitous hull during the Expansion Era of the Domain of Man, ironically it was the smaller Fidem the was intended to be the premier product. Small, rugged and able to fulfil a wide variety of tasks, it was believed that the Fidem-class would have considerable interest from operators of every size. However, the hull was simply too expensive to maintain when compared with its smaller, cheaper and more specialised competition - the Shepherd. Despite after-market modification with added missile armaments and an Ammunition Feeder System, the Fidem never saw much interest and eventually left production in favour of producing more Mora hulls.

After the Collapse the design came into possession of the Church of Galactic Redemption, who found its small size, durability, low-tech engineering and tactically flexiblity drastically outweighed the logistical drawbacks. Now the ship fulfils a variety of roles with great success, from light carrier to missile frigate to light gunship.",,,,
lector,SHIP,"The Lector is a positively archaeological design, utilising an old Damper Field as its defensive system. With an oversized armament, good speed and decent armour, this vessel shows its age in extended engagements due to its lack of shield generator.

The Lector-class is ancient - arguably older than the Onslaught-class itself. When it was produced, it was considered to be a durable and incredibly fast cruiser that could act as an anchor in ship to ship engagements. Archaological and tech-mining efforts seem to indicate that in this role the Lector worked adequately enough, before it was rapidly overtaken by larger, better vessels. There is some evidence that while its armour and armament was substandard, its mobility was still considerable, and was utilized as a flanking vessel but some re-Domain polities.

However, the Lector had been designed with the belief that shield generators could never be produced small enough to be effectively utilised by craft smaller than an orbital station. When such a generator was eventually produced, and installation of it into the Lector was deemed impractical, the craft was practically dead in the water. It did see some level of resurgence when the Vanguard fell back into vogue, but the Lector was too comparatively large and unweildy, and again fell back into obscurity.

The design for this craft was rediscovered at the same time as the Vanguard - possibly from the same cache - and has since  been picked up by the Church of Galactic Redemption. It now fulfils a fast attack destroyer, similar to ancient polities of yore, due to the simplistic technology used in its creation and maintenance and its disproportionate speed and armament.",,,,
jude,SHIP,"Packing a powerful punch, the Jude is a destroyer with ample armament and a large missile slot. While these features appear attractive on paper, many are often turned away by its disproportionately high logistical cost and poor mobility.

Exactly what design process led to the Jude-class has been lost to time. Implementing heavy missile and moderate ballistic armament on a fragile destroyer chassis should result in the efficient conversion of a space ship to space debris. Some speculation by historians and archeo-engineers suggest the ship was designed to wield a specialized missile-based weapon system, and its ballistic armament was to be used once ammunition was dry. Others suggest that the missile armament was a later addition by anti-Domain groups, with some evidence of ancient mining architecture hidden under the large missile mounting.

Regardless of the scant evidence of its inception and use, the Jude-class is too large to be a destroyer, yet it's armament is too undersized for a cruiser. The craft itself is disproportionally expensive to maintain, and possesses limited maneuverability, making the vessel something of a hazard to crew. Regardless, the Church of Galactic Redemption has seen potential in a comparatively cheap and technologically compliant method of putting more missile ordinance on the field, and utilizes the Jude as an artillery vessel.",,,,
christopher,SHIP,"A paradoxical heavy light cruiser, the Christopher is a defensive escort vessel. Limited in mobilty and unable to focus  its strong ballistic armament, the Christopher is nevertheless an effective choice for dealing with small targets in battle-line settings, protecting larger craft from flanking frigates and fighters.

The Christopher is an incredibly awkward design by modern conventions. Its size, armament and logistical profile puts it in the light cruiser range, yet it's thick armour and sluggish mobility firmly places it in the heavy cruiser category. In its day it was designed to stand on the battle line to protect other ships and destroy missile and fighter formations while providing missile strike capability. However, in this dual role as armoured anvil and escort gunboat it has long since been supplanted by the Dominator and the Enforcer, respectively. Further, the ship lacks a location within its reinforced, armoured chassis to install a shield generator, instead relying on an old cannister flak system and its thick ablative armour for defense. Perhaps it is because of these low tech eccentricities that this archaic design has been adopted by the Church of Galactic Redemption to provide an anchor for smaller fleets.",,,,
sebastian,SHIP,"A venerable design, the Sebastian is an oversized cruiser carrier with focused forward-facing ballistic firepower. When combined with its fighter wings this ship can concentrate a lot of ordinance on a single foe, however the vessel is let down by poor mobility and a strenuous logistics profile.

The Sebastian was originally conceived as a support ship for the Onslaught. The idea of producing what at the time was considered to be a capital vessel was novel, with the result being a ship that became the victim of scope creep. While the ship did had suitably thick armour, and its slow movement profile at the time was acceptable, the ship simply had too much armament for its flux grid. Further, the design included a flight deck that, due to limitations in armoured decking, had to be well protected in the ship’s hull. These two features combined rendered the vessel difficult to maintain, expensive to produce, and increased demands on crew to keep it functional.

In its role however the Sebastian worked brilliantly, keeping the flanks of the Onslaught clear until the Expansion Era. During this time the Domain Navy moved towards a more mobile battle line, which the Sebastian couldn’t keep up with. The introduction of the Dominator and the Heron both outclassed the Sebastian in firepower and fighter capability, respectively. The Sebastian design was updated several times, such as the inclusion of a shield generator and lighter armour, however this wasn’t enough to save the Sebastian-class from obsoletion.

Luckily for the ship, an LPC of the design was located from a museum post-Collapse, and fell into the hands of the Church of Galactic Redemption. Despite (or perhaps, because of) its age the vessel has become an effective close support cruiser, able to strike at range with fighters while keeping enemies at bay with its firepower.",,,,
le_surge,SHIP_SYSTEM,"Briefly overdrives the ship's engines, shooting the vessel forward a short distance.",Movement,"Briefly overdrives the ship's engines, shooting the vessel forward a short distance.",,
le_surgeheavy,SHIP_SYSTEM,"Briefly overdrives the ship's engines, shooting the vessel forward a short distance.",Movement,"Briefly overdrives the ship's engines, shooting the vessel forward a short distance.",,
le_burst_surge,SHIP_SYSTEM,"Briefly overdrives the ship's engines, shooting the vessel forward a very short distance. Has three cahrges.",Movement,"Briefly overdrives the ship's engines, shooting the vessel forward a very short distance.",,
le_damper,SHIP_SYSTEM,An archaic shield analogue. Blocks damage to hull and armour for a very short period.,Movement,An archaic shield analogue. Blocks damage to hull and armour for a very short period.,,
,,,,,,
#Light of Ludd,,,,,,
le_dram_w,WEAPON,"The strongest weapon in the Sacred Arsenal against the agents of Moloch, the Divine Light of Ludd is a stripped-back Dram hull loaded with explosives. The lightness and fragility of the improvised ship, combined with the fact that it's loaded with bombs and fuel, means the ship is somewhat fragile. However, the ship-sized missile is fast, and if it makes it within range of its target it can bring annhilitic salvation to stations and capital ships, and even remove cruisers from the void.",,,,
le_explode,SHIP_SYSTEM,"The Light of Ludd is released, the lies of Moloch are laid bare, and all are purified with Divine Fire.",Special,"The Light of Ludd is released, the lies of Moloch are laid bare, and all are purified with Divine Fire.",,
,,,,,,
#Alexandretta,,,,,,
hegemony_hera,CUSTOM,"Originally a small patrol station, Hera was seized under questionable legal means by the Hegemony after the defeat of Lord Scarborough over Cerberus. Expansion of military facilities on the site has left the locals wary of Hegemony intent in the area.",,"A remnant of the Alexandretta Polity, this base was forcibly acquired by the Hegemony after the invasion of the Pirate Lord Scarborough in the name of 'protecting the citizens of Alexandretta'. Although the Hegemony leadership has made several promises to vacate the facility and return it to the Alexandretta Polity in the wake of Scarborough's defeat on Cerberus, the station still remains in Hegemony hands, and increasingly it appears that this fact will not change in the future. Understandably, ownership of this station is a sore topic for most Alexandrettans.",,
luddicchurch_cerebrus,CUSTOM,"Hardy and rough, the people of Cerberus toil in the ruins of once great industry. Wrecked by war and trapped in realpolitik, the remains of the Alexandretta polity were forced to turn to the Luddic Church for support and protection in the face of encroaching Hegemony influence.",,"Many cycles ago, this planet was the site of the last battle against the Pirate Lord Scarborough . The Alexandrettans were able to break the invading pirates in orbit, however they were unable to save the planet from being bombarded with starship fuel, and their spaceship losses were crippling. With the seizure of Hera station by the Hegemony for their 'protection',  the Alexandrettans turned to the Luddic Church for assistance. The planet is now a somewhat loyal bastion to the Luddic Church, if more out of necessity rather than genuine faith. The remnants of Cerberus' industry now fuels a limited ship building program sanctioned by the Church, further increasing the theological dubiousness of the planet.",,
