name,id,tags,planetary,decivRemove,script,desc,icon,order
#DEV,,,,,,,,
Hubris Condition,jdp_hubrisMarker,planet_search,,,Jaydee8652.JaydeePiracy.campaign.econ.jdp_hubrisMarker,Internal condition for filtering unique planets.,graphics/icons/markets/jdp_hubrisMarker.png,1000
,,,,,,,,
,,,,,,,,
#Interfector,,,,,,,,
Show of Force,jdp_pkinspire,"show_in_codex, codex_unlockable",,,Jaydee8652.JaydeePiracy.campaign.econ.jdp_PKInspire,"The ""functional"" Planetkiller Launch Site has emboldened the populace of $market. Officials across the sector eager to avoid causing a diplomatic incident are fast-tracking all shipments to and from $market. Pragmatic individuals living under other factions are actively pursuing immigration.",graphics/icons/markets/jdp_pkinspire.png,9203
Show of Force,jdp_pkinspirealpha,,,,Jaydee8652.JaydeePiracy.campaign.econ.jdp_PKInspireAlpha,"The Alpha-level AI core currently assigned to internal and external propaganda regarding the ""functional"" Planetkiller Launch Site has emboldened the populace of $market. Officials across the sector eager to avoid causing a diplomatic incident are fast-tracking all shipments to and from $market. Pragmatic individuals living under other factions are actively pursuing immigration.",graphics/icons/markets/jdp_pkinspirealpha.png,9203
,,,,,,,,
#Flavour,,,,,,,,
Failed Cryosanctum,jdp_failedCryosanctum,"show_in_codex, codex_unlockable",TRUE,,Jaydee8652.JaydeePiracy.campaign.econ.jdp_failedCryosanctum,"An enormous tomb-like vault built to store the DOMINT personnel who managed this blacksite in the event of enacting network failure protocol. Unfortunately for those inside, the many-times redundant support infrastructure emblematic of cryosanctums has since been dismantled and repurposed by the local drones, killing all occupants. Now rotted to dust over countless cycles, they aren't even suitable for organ harvesting operations.",graphics/icons/markets/jdp_failedCryosanctum.png,9203
Subsurface Ecosystem,jdp_subsheetEcosystem,"show_in_codex, planet_search, codex_unlockable",TRUE,,Jaydee8652.JaydeePiracy.campaign.econ.jdp_subsheetEcosystem,"Complex aquatic organisms grow anaemic and wearily beneath the icy surface of $market, clinging to the sparse hydrothermal vents within its subterranean primordial sea. Only the immensely rare combination of traits in a prospective angler, desperate but well supplied, could make this ocean bear any amount of food grade material. ",graphics/icons/markets/jdp_subsheetEcosystem.png,137
Ancient Candi,jdp_ancientCandi,"show_in_codex, codex_unlockable",TRUE,,Jaydee8652.JaydeePiracy.campaign.econ.jdp_ancientCandi,"UNIMPLEMENTED

LUDDIC CHURCH QUEST TO MAKE A NEW PILGRIM SITE",graphics/icons/markets/jdp_ancientCandi.png,137
,,,,,,,,
#Colony Items,,,,,,,,
Volturnian Lobster Pens,jdp_volturnianLobsterPens,,TRUE,,Jaydee8652.JaydeePiracy.campaign.econ.jdp_VolturnianLobsterPens,"A mix of several Old Earth species and a little imagination produced this creature which now grows wild in the crushing depths of $market's sea-floor. The flavor is said to be exceptional, the secret ingredient was crime.",graphics/icons/markets/lobster_pens.png,137
,,,,,,,,
Encroaching Biofactory,jdp_encroachingBiofactory,"show_in_codex, codex_unlockable",TRUE,,Jaydee8652.JaydeePiracy.campaign.econ.jdp_encroachingBiofactory,"An unconstrained Biofactory Embryo undulates across the landscape of $market, putrid and flowing as it encroaches on human settlements, necessitating occasional orbital burns. Synthetic compounds oozing from the mass taint local water sources while disturbingly human-like organs bud, ready for harvest by armed expeditions into the mess of flesh and tendrils.",graphics/icons/markets/jdp_encroachingBiofactory.png,137
Eutrophicated Biosphere,jdp_eutrophicatedBiosphere,"show_in_codex, codex_unlockable",TRUE,,Jaydee8652.JaydeePiracy.campaign.econ.jdp_eutrophicatedBiosphere,"Rampant Soil Nanites provide a perpetual and suffocating source of nutrients to the biosphere of  $market. Immense mats of algae bloom and swirl in dizzying patterns influenced by the currents of the major oceans while organic detritus piles high, rivalling lithic structures in size.",graphics/icons/markets/jdp_eutrophicatedBiosphere.png,137
Glassed World,jdp_glassedWorld,"show_in_codex, codex_unlockable",TRUE,,Jaydee8652.JaydeePiracy.campaign.econ.jdp_glassedWorld,"An ill-maintained Orbital Fusion Lamp has carved a large fissure into the crust of $market, forming a massive belt of slag and glass. The neighbouring large ice sheets slip slowly but inexorably closer to vaporisation by intense radiating heat, making long term habitation a troubling but lucrative proposition when these immense forces are tapped as power for industry.",graphics/icons/markets/jdp_glassedWorld.png,137
Rebel Arsenal,jdp_rebelArsenal,"show_in_codex, codex_unlockable",TRUE,,Jaydee8652.JaydeePiracy.campaign.econ.jdp_rebelArsenal,"Hidden in the form of extensive bunker networks and hacked nanoforges is the evidence that $market was once the site of a well organised insurrection. While they failed to overcome the might of the Domain, the stockpiles of weapons and ancient military infrastructure is an immense boon to local forces.",graphics/icons/markets/jdp_rebelArsenal.png,137
Quarry Lakes,jdp_quarryLakes,"show_in_codex, codex_unlockable",TRUE,,Jaydee8652.JaydeePiracy.campaign.econ.jdp_quarryLakes,"Large mining runs, collapsed tunnels and deep pits perforate the crust of $market. While the resources available by conventional extraction are depleted, the local water supply is poisoned crimson with metallic elements that can be refined semi-directly at surprising levels of efficacy.",graphics/icons/markets/jdp_quarryLakes.png,137
