id,type,text1,text2,text3,notes
########################,,,,,
## CAPITAL,,,,,
hhe_sentinel,SHIP,"An advanced capital ship designed primarily as a carrier, the midline Sentinel-class is the defining assault carrier in the sector able to field heavy fighters and interceptors through its numerous fighter craft squadrons. The ship is rarely seen outside the Persean League systems.

The Sentinel-class supercarrier is among the largest warships in the sector.  Its defining feature are its massive fighter complement (and costs) that exceeds that of the more-common Astral-class carriers, and its central Desolator Cannon, a massive flak weapon with strong development ties to the Devastator modular cannon.

Domain doctrine required that Sentinel-class supercarriers stand by behind the front lines, providing fighter coverage alongside its smaller auxiliary carrier brethren.  The Desolator cannon was to be utilized against stray missiles and hostile fighter groups that had made it behind the lines, and then firing the smaller PD arrays and flares if the fighter groups had made it past the Desolator, and only activating the heavy and inefficient shield generator to intercept ordnance if all other defensive lines had been breached.

Many new Sentinel captains were previously Legion-class Battlecarrier captains, which was considerably better equipped for a front-line role.  These new Sentinel captains tended to neglect the new Domain doctrine, whether due to old habits or plain antipathy for the doctrine, attempting to use their Desolator cannons in a more offensive role.  While occasionally effective, neither the armor nor the shielding of the Sentinel-class was designed for front line attrition, resulting in Sentinel casualties far in excess than anticipated.  It's rumored that the misuse of these ships prompted the Domain to redesign the upcoming Astral project with smaller point-defense weaponry and stand-off missile mounts in order to discourage reckless front-line use of the carrier.

The early attrition rates and excessive procurement cost of new supercarriers ensure that the design remains rare within the Persean Sector, only occasionally seeing a resurgence whenever a high-ranking Kazeron admiral decides they require a new flagship.  The Sentinel-class remains a favourite subject of armchair tacticians, idly theorizing how the warship may have changed the history of Domain naval development had the design not received disreputable recognition from its misuse.  An independent captain with the credits (or luck) to acquire one of the few remaining ships may have the chance to put those theories into practice.",,,
hhe_astral_culann,SHIP,"A technologically advanced capital ship designed primarily as a carrier, the Astral (Early) class is able to project vast amounts of firepower through its numerous fighter craft squadrons.

The Astral (early) class was originally a pre-production variant, designed and produced by the Domain before the full production model's Recall Device had matured into a combat-ready system.  Its service history in the Domain was limited due to the quick completion and fielding of the finalized Astral-class production models, but blueprints rediscovered in a Culaan cache breathed new life into the older variation.  Primary differences between the two architectures include the pre-production type's lack of an integrated recall device, alternative weapon emplacements emphasizing defensive countermeasures over missile strike capabilities, and slightly older internal subsystems and software protocols.  Despite its theoretical disadvantage in terms of offensive capabilities, the lack of the same cutting edge systems that define the production model results in the pre-production variant being significantly less maintenance-intensive, an attribute that appeals to many financially astute navies of the Persean Sector.

The true power of an Astral lies in its fighter craft, which give the carrier unprecedented flexibility in the battle space. Nearly any enemy ship type that appears on the captain's scopes can quickly be dispatched, given just a launch order of a wing of nimble interceptors, strike bombers or fighters. Automated facilities ensure that a squadron coming back from a mission can quickly be repaired and rearmed behind the safety of the powerful X-35 shield emitter. The Astral-class is very vulnerable should the X-35 come down. This is why when not protected by its fighter wings it never travels alone, but instead is at the head of space-borne carrier fleets. These task forces are a rarity, as the power they hold is usually required to subjugate entire planets or blockade enormous areas of space.

The Astral is perhaps the most technologically advanced capital ship that can be seen in the Sector today. Few serve with the Hegemony due to the high technological requirements that it imposes on orbital docks. Senior Naval Corporate Officers of the Tri-Tachyon Corporation or extremely wealthy private admirals sometimes make an Astral their flagship.",,,
hhe_artificer,SHIP,"A vanguard combat-carrier capital ship, the Artificer-class Battlecarrier is able to provide heavy fire support with its energy weapons, fighters and missiles.

The Artificer-class capital ship comes from the Domain's battlecarrier line of warships, and was developed concurrently with the Astral-class carrier.  While the Artificer lacks some of the more advanced subsystems such as the X-35 shield emitter and recall device, its dependence on tried-and-true subsystems is generally seen to be as beneficial for the class; the Artificer's battlefield endurance is every bit as good as older Battlecarrier models.

Notable features of the Artificer-class include its armored hangar bays and central runway, protecting strike craft during both takeoff and landing.  Fighter pilots and Strike Wing commanders lovingly refer to the Artificer as the ""Battle Egg"" and appreciate the knowledge that their parent carrier will frequently be in the heat of battle right alongside them.  Individuals frequently reject more prestigious positions aboard an Astral-class carrier to remain a part of an Artificer's crew.

Artificers serve frequently alongside Astrals in Tri-Tachyon carrier groups, and less commonly among independent navies.  The well-rounded battlecarrier is flexible enough to fit into nearly any fleet, if given the chance.",,,
,,,,,
### CRUISER,,,,,
,,,,,
,,,,,
,,,,,
### DESTROYER,,,,,
hhe_gemini,SHIP,"The Gemini Persean League variation, found in convoys or battlefleets, replaces most of its cargo space for offensive and defensive capabilities. Has three fighter bays to bolster defenses or commence strike attacks.",,,
,,,,,
### FRIGATE,,,,,
,,,,,
,,,,,
########################,,,,,
## FIGHTER,,,,,
hhe_ftr_broadsword_ht,SHIP,"The final result of cycles of incremental improvements and modernization packages, the Broadsword (Late) enhances the original's durability with a compact shield generator supported by a late Domain-era flux core, at the cost of the original's logistical simplicity.  ",,,
hhe_ftr_broadsword_ht_mkii,SHIP,"An upgraded variant, the Broadsword Mk.II carries a decoy flare launcher that draws defensive fire away from high-value targets like bombers and their payloads. The fighter also comes with a small shield generator allowing the bow of the fighter to be safely protected. It also comes equipped with stinger mines, which makes it treacherous for enemy ships to engage freely.",,,
,,,,,
hhe_ftr_cazin,SHIP,"A post-collapse attempt to reverse-engineer the Broadsword heavy fighter, that the Cazin-class is spaceworthy at all is a testament to the rugged construction of the original source material.  The Cazin falls short of its model in all parameters except in manufacturability and maintenance.  Suitable only for the most desperate and Luddics.",,,
hhe_ftr_cazin_pirate,SHIP,"Hacked from a degraded Cazin LPC, the original armament and flare system were ripped out in favour of more guns.  With the original being only nominally spaceworthy to begin with, this pirate conversion stresses the poor Cazin chassis to its absolute limit.",,,
hhe_ftr_bonnethead,SHIP,"Heavily armed and armored, the Tinhead heavy fighter projects massive walls of lead capable of obliterating frigates and light fighter craft.  However, its underpowered main thrusters mean the Tinhead is incapable of forcing an engagement against its intended prey.",,,
hhe_ftr_lux_tt,SHIP,"The Lux is the leading fighter of the Tri-Tachyon Restoration Project, bringing unused fighter designs back for piloting. Armed with a pulse phaser and flares, the Lux isn¡¯t ideal against small and agile fighters but rather clearing the path with its shields. The chassis design is also oddly familiar¡¦",,,
hhe_ftr_brokkr,SHIP,"Originally developed as a mountable hull system for larger ships, the Brokkr is a drone launcher with a very efficient nanoforge onboard. Capable of producing drones at rapid speed, the Brokkr¡¯s objective is to disrupt their target with unending amounts drones allowing other ships to deliver the payload. Unfortunately the bulky Brokkr requires a much larger crew and its paper thin armor doesn¡¯t do much for protection. ",,,
hhe_ftr_lucent,SHIP,"An autonomous AI heavy fighter, the Lucent is heavily protected and armed with a light ion lance, which can destroy lighter fighter craft outright as well as penetrate through heavily fluxed warship shielding to disable systems.",,,
hhe_ftr_sarissa,SHIP,"A conversion of the Gladius favored by Luddics, the Ixwa replaces the LMG emplacements and IR Pulse turret with a Swarmer battery and Vulcan turret.  Excels at engaging large numbers of unshielded fighters, with the cover from more numerous wings.",,,
hhe_ftr_loki,SHIP,"Equipped with a light Corvette-level flux core and shuttle-class shield emitter, pairs of late Domain-era Loki Superheavy Fighters bring frigate-level firepower to the few carrier battlegroups with the logistical capacity to field them.",,,
gg_broadsword_lg,SHIP,"The Sindrian Diktat enhances select LPCs for use by the elite Lion’s Guard.  The standard upgrade package includes a flux core overclocked to 10% greater performance over the stock fighter model, and fighter-grade solar shielding for additional safety when operating in the skies of Inner Askonia.",,,
gg_gladius_lg,SHIP,"The Sindrian Diktat enhances select LPCs for use by the elite Lion’s Guard.  The standard upgrade package includes a flux core overclocked to 10% greater performance over the stock fighter model, and fighter-grade solar shielding for additional safety when operating in the skies of Inner Askonia.",,,
