id,type,text1,text2,text3,notes
# WEAPONS WEAPONS WEAPONS,,,,,
TADA_triplemortar,WEAPON,"Bigger cousin of the Light Mortar, the Triple variant is an attempt at capitalizing on the few strengths of its smaller sibling and making a worthwhile military weapon out of it.

A single Light Mortar with its low projectile velocity and mild firepower is barely a threat to any competently piloted ship. Three of them firing in concentrated salvos from a single weapon mount however can be an issue at least for a lightly armored spacecraft. There is a slight loss in flux efficiency due to the now very confined turret body, but it is somewhat made up for with the extra range gained from the longer barrels.",Anti-armor,,
TADA_dioscuri,WEAPON,"The Dioscuri is an accurate mid-range recoilless rifle firing deceptively powerful rounds. Its complex reload mechanism makes it slightly less flux efficient compared to more straightforward weapons, but its ease of installation somewhat compensates for that trait.

The Dioscuri combines several unusual engineering decisions neatly interlocking to produce what is unexpectedly a very reliable and smooth operating weapon. The obvious rotating barrels allow for easier shell extraction from the base of the turret without requiring a large reciprocating motion of the breech. The twin barrel design also allows for reloading while firing at the same time with less volume constraints and a more secure ammo handling area.
 
Overall, while the weapon has a large number of moving parts, the lower stress on any given element leads to a reduced chance of mechanical failure as long as it is properly maintained.",Anti-armor,,
TADA_plasma,WEAPON,"An over-sized ship-breaking tool re-purposed for war. Despite the fiery look, it is actually a chemical reaction that decomposes the target's armor wrecks havoc upon the target's hull with its melting fury. The blazing appearance is caused by a super heated catalyst that vaporises off of the viscous stream of acid, a startling outlook that is actively embraced by the pirates that usually field this re-purposed ""Can Opener"" as they sometimes call it.",Can Opener,,
TADA_pilumWaveL,WEAPON,"A large guided missile suited for long-range support by back-line combat ships with a combat-rated auto-loader system that ensures continued usefulness in protracted engagements. A technologically mature weapon system, the Hasta-class missile is the obvious choice for long-range strikes by cautious captains. The guidance system on this weapon make it dangerous primarily against slower, heavier targets. Unfortunately, those kinds of targets also tend to have good point defense systems, which somewhat limits the Hasta's otherwise considerable punch.",Fire Support,,
TADA_pilumWaveR,WEAPON,"A large guided missile suited for long-range support by back-line combat ships with a combat-rated auto-loader system that ensures continued usefulness in protracted engagements. A technologically mature weapon system, the Hasta-class missile is the obvious choice for long-range strikes by cautious captains. The guidance system on this weapon make it dangerous primarily against slower, heavier targets. Unfortunately, those kinds of targets also tend to have good point defense systems, which somewhat limits the Hasta's otherwise considerable punch.",Fire Support,,
TADA_urchin,WEAPON,"A long range artillery piece with a staggering fire rate, the Urchin Suppressor was quite a feat of engineering when it was first introduced. Sadly, while the weapon itself is still more than adequate in a modern battle-space it is now held back by its slightly underpowered ammunition.

However, this weapon still has a couple of advantages that can make it worth consideration. Firstly, its special recoil dampeners transmit very little impact back to the mount's structure, making the whole assembly easy to adapt and fit to any ship with a weapon emplacement large enough. Secondly, the reasonable flux requirements, somewhat expected for a weapon of such a bygone era, can be more interesting than sheer fire-power to backwater fleets that cannot afford modern vessels with a deep flux pool or fast flux dissipation.
 
Armchair specialists have often railed on this weapon, criticizing their navy for not ""just"" re-chambering them to use some better and readily available ammunition the likes of which the Hephaestus or the Mark IX use. What these people often forget is the scale of space warfare: there really is nothing trivial when it comes to modifying machinery that handles high explosive materials encased in shells larger than a man, conveying, chambering, and firing them up to twelve hundred times per minute.",Assault,,
TADA_hammerStorm,WEAPON,"A jury-rigged, oversized, hammer launcher, this weapon is meant to lay waste to small defense stations that are unable to intercept the entirety of its volleys. With a massive reserve of munitions stored in the cargo-hold alongside a small, crude manufactory capable of producing replacement munitions during engagements, silencing this weapon is always a priority. Given the inherent risks of storing such a large amount of explosives in an un-secured and un-armored compartment however, this task is not too complicated.",Assault,,
TADA_hailstorm,WEAPON,"A long range station assault weapon able to continuously pummel defensive positions with high yield torpedoes until they break. While the ordnance can be securely stored in bulk alongside its makeshift manufactory, its performance other than its sheer explosive power is somewhat underwhelming and hardly threatening for any smaller target.",Assault,,
TADA_pike,WEAPON,"Formerly a mining tool aimed at quickly placing remote controlled demolition charges for low gravity mountain-top removal or asteroid fracturing. This re-purposed version shoots high velocity timed fusion charges that stick to a ship's hull before detonating in concert for maximum effect.

While having a surprisingly fast and reliable revolver loading system for a civilian-borne tool, the very limited number of charges it contains limits this weapon's use for sustained pressure. Also betraying its industrial heritage, it is by design exceptionally inefficient against any kind of shield.",Special,,
TADA_LRA,WEAPON,"Arbalest auto-cannon that has been refitted with an extended barrel for a much better range, at the cost of precision and fire-rate. 

With the advent of modern shield technology, raw firepower became more important than range. The Long Range Arbalests, and their pitiful performances in term of damage, were completely overshadowed by the slick Hypervelocity Drivers and were left behind even faster than the standard Arbalests.",Close Support,,
# FIGHTER WEAPONS,,,,,
TADA_swarmer,WEAPON,A short range guided missile launcher. The missiles are designed to intercept and destroy enemy fighters.,,,
TADA_owlFlak,WEAPON,A defensive weapon system that fires shrapnel-filled shells equipped with a proximity fuse for maximum effect against fighters and missiles.,,,
TADA_lightIonBeam,WEAPON,A scaled down Ion Beam with much shorter range but light enough to be mounted on particularly large strikecrafts.,,,
TADA_gravitonBolterL,WEAPON,A medium impact kinetic pulse laser derived from the Gaviton Beam. Mild performances but deals hard flux.,,,
TADA_gravitonBolterR,WEAPON,A medium impact kinetic pulse laser derived from the Gaviton Beam. Mild performances but deals hard flux.,,,
# SHIPS SHIPS SHIPS,,,,,
TADA_firespitter,SHIP,"Often overlooked by spacecraft enthusiasts, the Firespitter escort fighter has a long service record and a glowing reputation among crewmen. While rarely, if ever, involved in a daring offensive assault, virtually every Firespitter combat sortie will result in dozens, sometimes hundreds of saved lives thanks to their ability to efficiently intercept missiles and enemy fighters.

The vehicle in itself is a rugged, reliable design built almost solely from widely available and proven hardware. The lack of flashiness hides its strength: it is cost-effective, easy to fly, easy to maintain, and can be integrated seamlessly into any military doctrine.",,,
TADA_owlDrone,SHIP,"The Beak-class drone is an early post-AI ban autonomous spacecraft. Intentionally limited in its decision-making capacities to avoid the ire of the Domain, the Beak was designed to be a cheap but resilient escort craft that can be sacrificed if needed. The removal of the cockpit and related environmental plant allowed the engineers to integrate a primitive shield emmiter in addition to its sizeable armament.",,,
TADA_pinnace,SHIP,"A gunship at heart, the Pinnance is able to provide fire support and suppress targets with its dual graviton bolters and downsized ion beam. The bulkiness of the Pinnance is however its notorious weakness with its sheer bulk limiting its deployment capabilities to one per fighter bay. It's size also makes it an easy target for opposing point defense and interceptors encouraging fleet commanders deploying these gunships to also deploy other fighter wings alongside to take some of the pressure off of these somewhat durable but still vulnerable gunships.",,,
