name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Modified Terminator Core,csp_terminatorcore,,,,codex_unlockable,,,,TRUE,,0,0,0,0,data.hullmods.csp_terminatorcore,"A modified terminator core, modified to to be useable on bigger fighter chassis and for non-ai use",,graphics/hullmods/terminator_core.png
Phase Injector,csp_phaseinjector,,,,,,,,TRUE,,0,0,0,0,data.hullmods.csp_PhaseInjector,Specialized thrusters that function while a phase ship is in phase space.,,graphics/hullmods/phase_injector.png
Multi-Layered Shielding,csp_multi_layered_shielding,,,,,,,,TRUE,,0,0,0,0,data.hullmods.csp_multi_layered_shielding,"A improvement upon the solar shielding techology, developed to help ships of the Diktat survive the extreme storms of a Water World and the Seas of Volturn. Along with use in combat situations and due to such, is largely excluvise to the Diktat's Lion Guard at this time to serve as a hidden advantage against their enemies.",,graphics/hullmods/csp_shield.png
Cetan Frame,csp_cetanframe,,,,,,,,TRUE,,0,0,0,0,data.hullmods.csp_cetanframe,"A type of frame first made for the Cetan Mech. This is what allows the Cetan and similar mechs that use this frame to able perform as well as they do. However the frame is often pushed to it's limit in Combat by default, making installing any Safety Overrides Redundant",,graphics/hullmods/Cetan_frame.png
"""Fourtheeth Pirategroup""",csp_piratexiv,,,,,,,,TRUE,,0,0,0,0,data.hullmods.csp_piratexiv,"A wolf in sheep's clothing, this ship has been modified with the external plating of Fourteenth Battlegroup vessels ""acquired"" by Hegemony spacers turned pirate. Such a tactic has fooled many a captain into believing they were passing a normal Hegemony fleet rather than entering a crafty trap.",,graphics/hullmods/xivpirate.png
XIV... Remnant?,csp_xivremnant,,,,codex_unlockable,,,,TRUE,,0,0,0,0,data.hullmods.csp_xivremnant,"This should not be possible. All logic should say otherwise. This cannot exist. Yet, here it is, a Remnant vessel constructed with an alloy that is exotic, yet resembles armor of the Fourteenth Battlegroup vessels. It was likely made from the armor of salvaged or captured XIV ships as this alloy cannot be created with industrial methods known to man alive in Persean Sector. The only remaining explanation is an AI creating the design and overseeing the construction itself. One shudders to think what this design's capabilities are. Ludd's mercy to any who experience this Abomination's wrath firsthand.",,graphics/hullmods/xivremnant.png
XIV... Remnant Fighters?,csp_xivremnantF,,,,codex_unlockable,,,,TRUE,,0,0,0,0,data.hullmods.csp_xivremnantF,"This should not be possible. All logic should say otherwise. This cannot exist. Yet, here it is, a Remnant Fighter constructed with an alloy that is exotic, yet resembles armor of the Fourteenth Battlegroup vessels. It was likely made from the armor of salvaged or captured XIV ships as this alloy cannot be created with industrial methods known to man alive in Persean Sector. The only remaining explanation is an AI creating the design and overseeing the construction itself. One shudders to think what this design's capabilities are. Ludd's mercy to any who experience this Abomination's wrath firsthand.",,graphics/hullmods/xivremnant.png
Energy Defense Ampifier,csp_csp_Energyamplifier,,,,,,,,TRUE,,0,0,0,0,data.hullmods.csp_Energyamplifier,"Amplifiers added onto the weapons mounts, allowing for energy based point defense to have further reach to intercept and destroy missile and fighters ",,graphics/hullmods/csp_Energy Defense Ampifier.png
Phase Tank,csp_ArmoredCoil,2,,,"phase,merc,tritachyon",Phase,24000,,,,8,15,20,40,data.hullmods.csp_ArmoredCoil,An armored refit for phase ships that trade their speed and distance and time diluation effect while phased to be able to have more armor in key areas to overall make the ship harder to kill,,graphics/hullmods/phase_tank.png
Strikecraft Caller,csp_strikecraft,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.csp_strikecraft,"Thank you Gettag, Very cool",,graphics/hullmods/xivremnant.png
