id,type,text1,text2,text3,notes
#Ships,,,,,
nes_fluorspar,SHIP,"An Expansion Epoch prototype designed to harness innate properties of its hull material, Fluorspar class was built for luxurious comfort and dazzling extravagance. While not originally intended for combat, it nonetheless carries a powerful shield emitter and armament enough to get classified as a small warship.

A project, that would later be known as ""Causality Resonance Research"" came to exist, as such things tend to happen, by sheer power of cosmic chance. A small asteroid mining company operating in the outer reaches of inhabited space mounts a routine expedition and promptly disappears, nowhere to be found. Not the first tragedy and certainly not the last, frontier is not a particularly gentle place and a forgiving one it is even less. After a halfhearted rescue attempt the matter would be closed except three cycles later, prospectors come back. Hitting local headlines faster than stepping off the ships, they deliver a tale of a rich haul and a job timely done, or so they thought, it was just a couple of months, after all. The peculiar story gets the eye of a Tri Tachyon researcher who brings it up with his boss, which after AI analysis, background checks, investigations and corporate maneuvering brings the entire mining company under corporate name in record time. With assets, personnel, and miraculously no longer invalid contracts of presumed missing spacers secured, everything is classified, everyone detained, a new research division established and watchful domain overseers dispatched.

The culprit being a material extracted from returned ship's cargo holds, a type of colorless crystalline solid of unknown properties. What is evident, however, is spending any amount of time in the asteroid field of such crystals causes some kind of time field distortion that nobody but causality physicists could even begin to explain. While scientists engross themselves in research, everyone else just starts calling it the Time Crystals, albeit outside said researcher's hearing range. After extensive, but mostly fruitless research, funds start dwindling, pressure from higher ups grows, and screws of domain authority cautious of any research dabbling in causality, begin to tighten.
 
A decision is made, the division is to create a product, a result that would satisfy CEO's and ensure the future of the project. An executive level yacht made almost entirely from crystalline compound. Despite being mostly automated, it is designed with a sizable crew in mind, for the luxurious interior to be staffed by servants and aids of all kind. The hull itself made grossly over gunned and over shielded for its intended purpose, more so to convince passengers of their safety rather than for an actual combat use. Along with GEMLOCK, a system used to manipulate crystal in a way that would change its visible color at a whim, vessel is intended to serve as a fashion and status statement. A prototype is created and after countless design revisions and a satisfactory maiden voyage by head researchers, the blueprint secured.

The plan worked, or it would have if the gate network did not choose collapse at the most inopportune moment. The research was frozen, forgotten, and then considered lost. Cycles later, a sub-gamma AI gleaned the lab location from old data banks and a salvage team was dispatched. Their sole find, a ship schematic now serves as a pet project for an excentric TriTach executive.",,,
,,,,,
nes_hampter,SHIP,"An aggressive destroyer with large emplacement, full-sized fighter bay and struggling flux grid, Hampter is an exercise in greed. Nimble for a lowtech design, with cramped quarters and cargo holds this deadly hull is both adored and despised by its captains and crews.",,,
nes_hampter_hero,SHIP,"A personal flagship of Alicia Yang, a heavily retrofitted Hampter mark V in a striking livery.

Captain Alicia was rather famous for her jolly, good natured, sometimes whimsical personality and somewhat more importantly for managing to lose her ship in practically every engagement she was part of, but escaping with her life, crew and valuables every time and for the most part, completely unscathed.

Curiously, every encounter where the ship was lost had ended in a resounding victory for the allied fleet. Spacers being a deeply supersticious lot tended to keep a close, watchful eye on her ship to judge the state of battle.
""Lucky Alicia Yang"" crews would say and it was that luck that kept captain Yang in active service.

She was however never given command of anything more substantial than a destroyer, a failing which prompted Alicia to greedily retrofit her ship with ever bigger and more powerful weapons and endlessly drill crews in gunnery often rivaling or even surpassing many larger ships in terms of pure firepower.

It was rumored that during her last recorded mission, a minor border dispute which escalated into a lenghty standoff with plenty of posturing and little fighting on both sides, Alicia was so engrossed in her favorite Tri-Net holo-show ""Pero Pero Persimon Tree Lyrical Blast Maiden DX"" that she missed a general retreat order, had been subsequently cut off and surrounded only to disappear without a trace alongside her ship and the entire crew.

A following search and rescue operation discovered faint traces of unusual hyperspace distortions at the coordinates of last contact with the ship. Any further investigation was quietly but firmly put to a stop and only vague speculations such as ""discovery of Transverse Jump"" and ""Fleet command selling technology to the Galatia Academy"" remained.
Cycles later, a woman bearing suspicious resemblance to Alicia Yang was reportedly sighted on one of the luxurious Fikenhild beaches but it was never confirmed.


Additional information:
Pero Pero Persimon Tree Lyrical Blast Maiden, a long running hit series about a group of young girls who in order to protect peace in the universe are fighting against an evil AI organization using the power of magic, friendship and very, very big guns.

In that particular episode Persimon was caught off guard by the grand vill-ai-n Hugh Mann and had been sent to the digital dimension. To save Persimon, her friends rushed in to fight Hugh Mann and his cronies but were all easily overpowered.

Cherry, a divine magical maiden and Persimon's most trusted companion was late to the scene, having been delayed by a cunning plan of the evil organization.
She had no choice but to face the enemy on her own and fought a losing battle until on the brink of defeat she miraculously awakened to a dormant power within and unleashed her new ultimate attack ""Papillon Slasher EX Twin Nova Fury"" managing to drive back Hugh Mann and save the day.

The next four seasons would cover an expedition to a digital world with the goal to save Persimon and mark a steady decline of the series.
Later however, Persimon's triumphant return would revitalize the series and mark its rise back to the top of the Tri-Net popularity charts. The holo-show remains ongoing even today.

",,,
,,,,,
nes_hermitaur,SHIP,"An antiquated design predating the shield emitter technology, Hermitaur is encased in overlapping belts of thick armor forming an impressively tough carapace. Powerful frontal layout delivers concentrated firepower, however the aft section is completely exposed. Left unchecked, an experienced opponent would seize the opportunity to set up a pincer maneuver and attack its weak point for massive damage.

Crews universally dread assignments to the Hermitaur class and widely consider it a punishment detail, as putting the long obsolete hot-loading mechanism into action soon became known as a quick way to join the casualty list, often permanently.",,,
,,,,,
nes_hammerfall,SHIP,"An utility vessel fit for harsh frontier duty, Hammerfall is fully capable of creating its own salvage opportunities.

Built upon a demilitarized Hammerhead frame, the hull has been expanded and reinforced to accomodate the spacious cargo holds, additional crew quarters and a fully integrated Ko Combine Optimaster-990 ""Pillar"" heavy laser drill.",,,
,,,,,
