id,type,text1,text2,text3,notes
yna_drone_torp,SHIP,"An easily distinguished drone modification with a missile pod mounted on the side. Crude, but simple and efficient. Protects the ship with its own weight and the guided missiles it  fires.",,,
yna_ftr_light,SHIP,"Reliable for its semi-autonomous control handled in the safety of the carrier host, Copperbacks are fast, lightweight interceptors that engage their targets with upfront accuracy with its long-ranged snipergun and select missile systems.",,,
yna_ftr_heavy,SHIP,"A modest drone fighter with a decent weaponry and engagement capability, Hurlblades earned its interest of being a safe option for both offensive and defensive strategies by its cheap cost and versatility.",,,
yna_bmr,SHIP,"One of the heaviest bombers for its deployment size, the Beatdown bomber is one select strikecraft that can take up a beating and dish another out without compromise.",,,
,,,,,
yna_cinderbull,SHIP,"The lightest of the blockhead warships in the Ynadar arsenal, the Cinderbull is a mobile gunship with a nasty surprise inside its simple exterior along with a versatile compartment that accomodates any role.

Modest by design, the Cinderbull is an economical powerhouse for the Ynadarian defense group prided by its simplistic assembly line and no baseline forge requirements other than its existing blueprint. A cheap, reliable artillery piece as many of the ""Midliner"" school members compared to.",,,
yna_nitroknife,SHIP,"One of the more exotic warships found outside the Persean sector, a seemingly unorthodox interceptor frigate but with a very noteworthy battlefront advantage, powered by a very powerful reactor.

The technology the Nitroknife primarily utilizes would easily be dismissed on the same grounds the Scarab have, an environmental casuality tampering field that accelerates the perception and physicality of the used ship, but it has no presence of such phase technology. Instead the frigate makes use of permanently overclocking its reactor and core systems including its cyberized crew to the point such a similar affect occurs in normal space.

Rumors of Jandori ""Time Reactors"", as many would call, soon surfaced from the far reaches of the Persean sector, commonly percepted as a ""death clock"" for many daring explorers in their attempt to search for such a device. Though in reality, it really is just an overclocking mechanism that even the reluctantly undisclosed Oculian technology can find itself in the same category if not for its efficient but unstable ion reactor technology they tend to make use of. A vital component that soon to be outfitted on heavily modified Lashers dubbed as Nitroknives.",,,
yna_pummeler,SHIP,"Implemented as a middling combatant in the Ynadar doctrine, the Pummeler assures its role with a respectable arsenal and a spinal mounted missile bay for a robust combat style.

A Brawler derivative with an ablative protective gear and a modest arsenal besiding its ordinance at the spinal piece, Pummelers are more than ideal as a hardhitter and assault gun in space.",,,
yna_maulsling,SHIP,"A heavily compacted assault frigate with an advanced targeting system and a reliable missile loader makes the Maulsling an entrusted companion in the fleet.

Recent innovation of a much more advanced frigate with long-ranged capabilities gave hope to the slowly winded resistance in the first war. But much like many such breakthroughs, it was lost along with the others as research stations went dark in the coming years.

Rediscovered as the codex implies, the Maulsling is a formidable oppoent even for the larger ships as its improved area-finder makes it easier to land shots that would otherwise stray misses that scuttle for nothing. The Ynadar alliance made sure it goes through great lengths as an escort. ",,,
yna_glarestruck,SHIP,"An easily misleading phase ship of bright painted colors built with sinister haste and an ability to throw as many ordinance against other frigates of its own size, the Glarestruck is a sophisticated but hardy vessel.

Ynadarian alloys are not something to easily dismiss as its incredible flexibility makes it easier to bounce off violent wave forces in a form of high explosive weaponry. Despite this, the alloys are prone to receive foreign fragments that causes the structural integrity to brittle and lose its cohesive flexibility, same cannot be said with its sensors as they yield early responses with merely a single blink while keeping safe distances.

The Glarestruck's plating is ideal for significant phase resistance, its semi-elastic form makes it bounce through smoothly within P-space without any substantial tear, especially critical in protecting its vital components. And thus, a new phase class is born with its unique baryonic phase stems to replace is traditional, bulkier coils.",,,
yna_clamcan,SHIP,"Designed as a self-defensive tanker with a surprising feature in mind, Clamcan tankers can easily throw raiders off guard with its reliable and seemingly basic missile launcher.",,,
,,,,,
yna_ballpeinhead,SHIP,"A very retrofitted Hammerhead with versatility in mind, the astute design of the Ballpeinhead is meant to hammer down anything that comes in its path with simple but very reliable tricks on its sleeves.",,,
yna_spitroast,SHIP,"An extreme design that forgoes any basic armament as it is not needed for a carrier, Spitroast carriers are known frontier shooters for its very supportive ordinance and carrier command prowess.

Nobody exactly knows how the Spitroast was even in the production line besides its respective carrier capabilities as a light carrier destroyer. Its spinal deck coverage design made it more suspect that its too unstandardized to even be a Domain-mandated pattern.

Nonetheless, its mount design has made several engineers skeptical about its capacity of any large weapon it could hold at its disposal.",,,
yna_flamedial,SHIP,"One of the proposed but denied destroyer designs of the older times, designed to siege the enemy front with its reliable energy bombardment capabilities. The Flamedial is a rare sight seen in the distant reaches of Persean space.

Its non-inclusion in the tech archives is viewed less of its expenses but more of its lack of reliable defensive systems to defend itself from opposing forces during the first AI war. The destroyer design vanished much later.

Wrecked data pieces were slowly pieced together by independent communities, only to find itself in the similar regards of the Sunder model, large weapon compartments harnessing a similarly massive power generator complex. Not many were interested in such a blueprint until Ynadarian explorers retrieved it for their own use.",,,
yna_quillpress,SHIP,"An easily serviceable destroyer with the upfront demands of a once versatile carrier freighter into a heavily armed warship with precision guidance cabilities that can outperform ships larger than its own size.

It's very unusual for the ship the like Gemini-class to receive a massive overhaul with an in-depth combat retrofit in mind. Losing its hangar bay and portions of its much redundant cargo mechanism, the Quillpress modification left much to be desired as a long-ranged support vehicle with four medium ordinances and a seemingly embrassing missile compartment at the front.

The compartment, however, is where most of the cargo configurations the ship underwent with. An advanced autoloader mechanism dedicated to supply the small muniitions rack makes the Quillpress more than enough of a warship to stay around the battlefield and leave their opponents up for a surprise.",,,
yna_rockblaster,SHIP,"A heavily modified rendition of the Quillpress is a mobile artillery piece with an improved lidar rangefinder. Very adept at long-range and capable of handling its own in prolonged firefights, the Rockblaster is a true heavy combat brawler.",,,
yna_kindlebow,SHIP,"Less of an actual doctrine direction and more of deviant by design, this uncomfortably unconventional phase ship that forgoes modesty but possesses a significant power concentration usually suited for bombardment.

The Kindlebow is fairly a misnomer for ""Midliner"" ships, but thanks to its advanced alloys and key hull features, a new phase line is formed with some caveats. Its core design surrounding two large weapons and the Ynadarian Baryonic phase stem retrofit, where the stems themselves are embedded directly on the hull. With new studies for more conventional phase technology pouring into the Ynadarian archives, the Kindlebow reached a focal point where its inception came to be.

No one knows how far these studies humanity has ventured off from traditional Phase technology, but for the concern of the Persean sector, best let it be from someone very far away from it.",,,
yna_buffalo,SHIP,"Heavily modified to adapt in the furthest reach the Persean sector ever could, this Buffalo is improved in most of its standard aspects with the exception of its already reliable cargo container latched on a much sturdier spinal column.

Ynadar retrofits are not simply acceptable in the Persean norms for its reliance on automated redesign and are often involved with questionable scientific figures within their ranks. This makes their Buffalo a rare find, a border worthy ship that is almost never encountered within the general space.

Despite this, the ship is heavily armed for a freighter in addition of its higher upfront cost. Equipped with better targeting computers and two additional turrets, this Buffalo is a headache for many pirates that tried their hands on this yellow cargo ship. Sadly for them, with an unusual tracking advantage, pirates would normally get hit first on almost every encounter.",,,
,,,,,
yna_starspot,SHIP,"Closely regarded as an aspirant model, the Starspot cruiser succeeds in that aspect with its simple and reliable weapon design and particularly modest economy value compared to its sibling ships.

Reconnisance cability has always been a crucial requirement for every Ynadarian fleet to have; most of them have long-ranged sensors, redundant rangefinders and reliable prediction tracking systems for an unusually strong targeting potential. The Starspot is no different.

Having a large sensor dish next to its bridge, the ship can detect a variety of targets, whom can, intercept at great distances with good engine power and an easily assessed mass ratio. This makes the Starspot ideal for flanking manuevers or hard assaults that would prevent even the most agile warships to escape.",,,
yna_grouse,SHIP,"It is unknown whether it is an Eagle or a Falcon by design, but the Grouse cares little as its weapon systems are just enough to put an end for any rival it can potentially be accompanied against.

There is a unique distinction with the modernized cruiser school craft the Grouse possess that neither of its siblings were capable of, a substantial use of a munitions autofactory placed at the center deck of the ship. Such a device is not needed to be directed from the bridge, but more on the crew who can easily take in and process materials for active weapons to make use of.

Convincingly, it matches the same concentration as an Eagle but a flexible weapon configuration allows the Grouse to perform more than just pummeling its enemies. And in thanks with the addition of Ynadarian targeting systems, the cruiser is even more than enough in every situation.",,,
yna_hailslammer,SHIP,"Demented by its awkward ordinance structure, this pocket arsenal ship is compelled to shower its myriad of long-ranged munitions on unsuspecting fleets. And as it does, its saturation would be mistaken for a battleship.",,,
yna_arsonguard,SHIP,"A cruiser school experiment went wrong due to its concentrated weapon emplacement of the wrong type in the wrong era, the Arsonguard still prevailed in its earnest as a heavy duty complement thanks to its vastly improved rangefinder and weapon diversity.

The movement of replacing the venerable Dominator was underway with a supposed modernized chassis that is lighter and more suitable for closer engagements, but due to the shortcomings of larger and more powerful warships, this project was easily overshadowed by equally sizable designs. The original blueprint ""Titanguard"" was to be forever archived in the foreseeable future.

Of course, it was then the blueprint was found and integrated with advanced targeting technologies which caused a divergence. A heavy cruiser capable of engaging distant targets, bombarding them with a myriad of lighter ballistics and even effectively pick targets on its whim. The Arsonguard was the result of the change.",,,
yna_weighbell,SHIP,"A once discontinued cousin of the Valkyrie, this very armored cruiser is poised to strike its enemies at a distance with a powerful sensor system to keep on track of its targets. A streamlined warship from a forgotten age.",,,
yna_lumbergiant,SHIP,"An advanced multi-type transport vehicle designed to carry various loads with little dependence from the rest of the fleet, the Lumbergiant is an Ynadarian mainstay vessel because of it.

With the popularity of the Atlas superfreighter at its height, so did the desire to take one down just for its very lucrative outcome. Many such designs were to contend with such a threat and one of them happens to be the Lumbergiant pattern.

Stemming from larger original design, the thought of a cruiser freighter was easily put down due to its redundancy fo the more robust Colossus model. Several configurations were considered to allow the ship to do more than just cargo while squeezing every spare space it can for weapon systems. The Lumbergiant has not met the expectations, but it certainly held out as a persistent alternative to Buffalos for the Ynadar system.",,,
,,,,,
yna_sunblade,SHIP,"The forgotten and unproposed design later used by the Ynadar Nexus, a battlecruiser fit to take on any mission with its simply all-rounded layout. The Sunblade is both a powerful match for the Ynadarian armada and a ominous mention of rediscoveries on lost tech.

No one in the Persean sector has ever heard of such a craft, neither did its failures as an actual combatant in many fields. Lacking the significant firepower in long-range ordinance being its primary factor. Modest by design and with only a select few armaments in its disposal, the Sunblade was severely irked in its history, thus the prototype was scrubbed almost immediately in the second war. Ynadar engineers looked for a solution to resolve this unfortunate mishap.",,,
